Template Name,Height,length,breadth,unit,weight,weightunit
Templatebulk60,12,112,122,Inch,200,KG
Templatebulk61,13,113,123,Inch,201,KG
Templatebulk62,14,114,124,Inch,202,KG
Templatebulk63,15,115,125,Inch,203,KG
Templatebulk64,16,116,126,Inch,204,KG
Templatebulk65,17,117,127,Inch,205,KG
Templatebulk66,18,118,128,Inch,206,KG
Templatebulk67,19,119,129,Inch,207,KG
Templatebulk68,20,120,130,Inch,208,KG
Templatebulk69,21,121,131,Inch,209,KG
Templatebulk70,22,122,132,Inch,210,KG
Templatebulk71,23,123,133,Inch,211,KG
Templatebulk72,24,124,134,Inch,212,KG
Templatebulk73,25,125,135,Inch,213,KG
Templatebulk74,26,126,136,Inch,214,KG
Templatebulk75,27,127,137,Inch,215,KG
Templatebulk76,28,128,138,Inch,216,KG
Templatebulk77,29,129,139,Inch,217,KG
Templatebulk78,30,130,140,Inch,218,KG
Templatebulk79,30,130,140,Inch,219,KG
Templatebulk80,30,130,140,Inch,220,KG
